45,45,45,2
46,45,45,2
47,45,45,2
45,46,45,2
46,46,45,2
47,46,45,2
45,47,45,2
46,47,45,2
47,47,45,2
45,45,46,2
46,45,46,2
47,45,46,2
45,46,46,2
46,46,46,2
47,46,46,2
45,47,46,2
46,47,46,2
47,47,46,2
45,45,47,2
46,45,47,2
47,45,47,2
45,46,47,2
46,46,47,2
47,46,47,2
45,47,47,2
46,47,47,2
47,47,47,2
45,45,48,1
46,45,48,1
47,45,48,1
45,46,48,1
46,46,48,1
47,46,48,1
45,47,48,1
46,47,48,1
47,47,48,1
45,45,49,1
46,45,49,1
47,45,49,1
45,46,49,1
46,46,49,1
47,46,49,1
45,47,49,1
46,47,49,1
47,47,49,1
45,45,50,1
46,45,50,1
47,45,50,1
45,46,50,1
46,46,50,1
47,46,50,1
45,47,50,1
46,47,50,1
47,47,50,1
45,45,51,1
46,45,51,1
47,45,51,1
45,46,51,1
46,46,51,1
47,46,51,1
45,47,51,1
46,47,51,1
47,47,51,1
45,45,52,1
46,45,52,1
47,45,52,1
45,46,52,1
46,46,52,1
47,46,52,1
45,47,52,1
46,47,52,1
47,47,52,1
45,45,53,1
46,45,53,1
47,45,53,1
45,46,53,1
46,46,53,1
47,46,53,1
45,47,53,1
46,47,53,1
47,47,53,1
45,45,54,1
46,45,54,1
47,45,54,1
45,46,54,1
46,46,54,1
47,46,54,1
45,47,54,1
46,47,54,3
47,47,54,1
45,45,55,1
46,45,55,1
47,45,55,1
45,46,55,1
46,46,55,1
47,46,55,1
45,47,55,1
46,47,55,1
47,47,55,1
